id,source,account_id,date,amount,currency,counterparty_raw,reference_raw
C001,corporate_card,CARD-9012,2026-08-03,450.00,INR,POS VISA STARBUCKS INDIA PVT LTD 4412998,REF4412998
C002,corporate_card,CARD-9012,2026-08-04,1250.50,INR,UPI-SWIGGY-REF908812,REF908812
C003,corporate_card,CARD-9012,2026-08-05,89000.00,INR,AWS EMEA SARL AMAZON WEB SERVICES,INV-AWS-8891
C004,corporate_card,CARD-9012,2026-08-07,320.75,INR,UBER INDIA SYSTEMS POS 771234,REF771234
C005,corporate_card,CARD-9012,2026-08-09,14999.00,INR,ZOOM VIDEO COMMUNICATIONS ONLINE,ZM-55521
C006,corporate_card,CARD-9012,2026-08-11,600.00,INR,POS STARBUCKS COFFEE 998123,REF998123
C007,corporate_card,CARD-9012,2026-08-12,400.00,INR,SWIGGY ORDER 100234,REF100234
C008,corporate_card,CARD-9012,2026-08-12,850.50,INR,SWIGGY ORDER 100235,REF100235
C009,corporate_card,CARD-9012,2026-08-15,2750.00,INR,UNKNOWN VENDOR XYZ 5567,REF5567
C010,corporate_card,CARD-9012,2026-08-03,450.00,INR,POS VISA STARBUCKS INDIA PVT LTD 4412998,REF4412998
C011,corporate_card,CARD-9012,2026-08-14,3200.00,INR,POS UBER INDIA SYSTEMS 88231,REFUBER8823
